id,created_at,door_1,inside_1,door_2,inside_2,door_3,inside_3,door_4,inside_4,door_5,inside_5,door_6,inside_6,door_7,inside_7,door_8,inside_8,door_9,inside_9,door_10,inside_10,door_11,inside_11,door_12,inside_12,door_13,inside_13,door_14,inside_14,door_15,inside_15,behavior,description
219,2024-05-13 06:31:05+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Near,Far,Near,Near,Near,Near,Near,Near,,,,,In,2306 - 5m IN - 1
220,2024-05-13 06:31:06+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Near,Far,Near,Near,Near,Near,Near,Near,Near,Near,,,In,2306 - 5m IN - 1
221,2024-05-13 06:31:07+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Near,Far,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,In,2306 - 5m IN - 1
222,2024-05-13 06:31:08+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Near,Far,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,In,2306 - 5m IN - 1
223,2024-05-13 06:31:09+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Near,Far,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,In,2306 - 5m IN - 1
224,2024-05-13 06:31:10+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Near,Far,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,In,2306 - 5m IN - 1
225,2024-05-13 06:31:11+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Near,Far,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,In,2306 - 5m IN - 1
226,2024-05-13 06:31:12+00,Far,Far,Far,Far,Far,Far,Far,Far,Near,Far,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,In,2306 - 5m IN - 1
227,2024-05-13 06:31:13+00,Far,Far,Far,Far,Far,Far,Near,Far,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,In,2306 - 5m IN - 1
228,2024-05-13 06:31:14+00,Far,Far,Far,Far,Near,Far,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,In,2306 - 5m IN - 1
229,2024-05-13 06:30:53+00,Far,Far,Far,Far,Near,Far,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,In,2306 - 5m IN - 1
230,2024-05-13 06:30:54+00,Far,Far,Near,Far,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,In,2306 - 5m IN - 1
231,2024-05-13 06:30:55+00,Near,Far,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,In,2306 - 5m IN - 1
232,2024-05-13 06:30:56+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,In,2306 - 5m IN - 1
233,2024-05-13 06:30:57+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,In,2306 - 5m IN - 1
234,2024-05-13 06:30:58+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,In,2306 - 5m IN - 1
235,2024-05-13 06:31:21+00,Near,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 2
236,2024-05-13 06:31:22+00,Near,Near,Near,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 2
237,2024-05-13 06:31:23+00,Near,Near,Near,Near,Near,Near,,,,,,,,,,,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 2
238,2024-05-13 06:31:24+00,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 2
239,2024-05-13 06:31:25+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 2
240,2024-05-13 06:31:26+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 2
241,2024-05-13 06:31:27+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 2
242,2024-05-13 06:31:28+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 2
243,2024-05-13 06:31:29+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,,,Out,2306 - 5m OUT - 2
244,2024-05-13 06:31:30+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,Out,2306 - 5m OUT - 2
245,2024-05-13 06:31:31+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,Out,2306 - 5m OUT - 2
246,2024-05-13 06:31:32+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,Out,2306 - 5m OUT - 2
247,2024-05-13 06:31:33+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,Out,2306 - 5m OUT - 2
248,2024-05-13 06:31:34+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,Out,2306 - 5m OUT - 2
249,2024-05-13 06:31:35+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Out,2306 - 5m OUT - 2
250,2024-05-13 06:31:36+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Out,2306 - 5m OUT - 2
251,2024-05-13 06:31:37+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Out,2306 - 5m OUT - 2
252,2024-05-13 06:31:38+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Out,2306 - 5m OUT - 2
253,2024-05-13 06:31:39+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Out,2306 - 5m OUT - 2
254,2024-05-13 06:31:40+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Far,Out,2306 - 5m OUT - 2
255,2024-05-13 06:31:41+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Far,Far,Far,Out,2306 - 5m OUT - 2
256,2024-05-13 06:31:42+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Far,Far,Far,Far,Far,Out,2306 - 5m OUT - 2
257,2024-05-13 06:31:43+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Far,Far,Far,Far,Far,Far,Far,Out,2306 - 5m OUT - 2
258,2024-05-13 06:31:44+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Far,Far,Far,Far,Far,Far,Far,Far,Far,Out,2306 - 5m OUT - 2
259,2024-05-13 06:31:45+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Out,2306 - 5m OUT - 2
260,2024-05-13 06:31:21+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Out,2306 - 5m OUT - 2
261,2024-05-13 06:31:22+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,,,Out,2306 - 5m OUT - 2
262,2024-05-13 06:31:23+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,,,,,Out,2306 - 5m OUT - 2
263,2024-05-13 06:31:24+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,,,,,,,Out,2306 - 5m OUT - 2
264,2024-05-13 06:31:25+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,,,,,,,,,Out,2306 - 5m OUT - 2
265,2024-05-13 06:31:26+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,,,,,,,,,,,Out,2306 - 5m OUT - 2
266,2024-05-13 06:31:49+00,Far,Far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In,2306 - 5m IN - 2
267,2024-05-13 06:31:50+00,Far,Far,Far,Far,,,,,,,,,,,,,,,,,,,,,,,,,,,In,2306 - 5m IN - 2
268,2024-05-13 06:31:51+00,Far,Far,Far,Far,Far,Far,,,,,,,,,,,,,,,,,,,,,,,,,In,2306 - 5m IN - 2
269,2024-05-13 06:31:52+00,Far,Far,Far,Far,Far,Far,Far,Far,,,,,,,,,,,,,,,,,,,,,,,In,2306 - 5m IN - 2
270,2024-05-13 06:31:53+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,,,,,,,,,,,,,,,,,,,,,In,2306 - 5m IN - 2
